,pathway,pthwy_id,fold_enrichment,q-value,cohort
0,cochlear nucleus development,GO:0021747,9.996116504854369,0.00894936918670939,symptomatic
94,positive regulation of macrophage apoptotic process,GO:2000111,9.996116504854369,0.008923170799160475,symptomatic
119,positive regulation of viral translation,GO:1904973,9.996116504854369,0.008912734342085433,symptomatic
122,regulation of viral translation,GO:1904971,9.996116504854369,0.008907525262984273,symptomatic
123,sphingolipid translocation,GO:0099039,9.996116504854369,0.008902322269255894,symptomatic
88,regulation of mast cell apoptotic process,GO:0033025,9.996116504854369,0.00892839819857416,symptomatic
134,negative regulation of metalloendopeptidase activity,GO:1904684,9.996116504854369,0.008897125350242901,symptomatic
150,positive regulation of heparan sulfate proteoglycan biosynthetic process,GO:0010909,9.996116504854369,0.00889193449531277,symptomatic
83,viral penetration into host nucleus,GO:0075732,9.996116504854369,0.0012657282783194138,symptomatic
156,positive regulation of B cell apoptotic process,GO:0002904,9.996116504854369,0.008886749693857778,symptomatic
160,fungiform papilla formation,GO:0061198,9.996116504854369,0.008881570935294925,symptomatic
77,osteoblast fate commitment,GO:0002051,9.996116504854369,0.008933631726240381,symptomatic
169,regulation of cell proliferation involved in heart valve morphogenesis,GO:0003250,9.996116504854369,0.008876398209065864,symptomatic
172,positive regulation of calcidiol 1-monooxygenase activity,GO:0060559,9.996116504854369,0.00887123150463684,symptomatic
63,apoptotic process involved in embryonic digit morphogenesis,GO:1902263,9.996116504854369,0.008938871392941989,symptomatic
99,intrinsic apoptotic signaling pathway in response to hypoxia,GO:1990144,9.996116504854369,0.008917949517241714,symptomatic
15,negative regulation of primary miRNA processing,GO:2000635,9.996116504854369,0.0012667812968537894,symptomatic
13,central nervous system morphogenesis,GO:0021551,9.996116504854369,0.008944117209487143,symptomatic
16,regulation of primary miRNA processing,GO:2000634,8.33009708737864,0.0007402360967473025,symptomatic
180,cytoplasmic sequestering of NF-kappaB,GO:0007253,8.33009708737864,0.0007408917531660334,symptomatic
193,maintenance of DNA repeat elements,GO:0043570,8.33009708737864,0.0007395815997563676,symptomatic
209,regulation of protein localization to endoplasmic reticulum,GO:1905550,7.996893203883494,0.004676312075540983,symptomatic
314,regulation of termination of DNA-templated transcription,GO:0031554,7.996893203883494,0.0046700769927735955,symptomatic
338,cranial ganglion development,GO:0061550,7.996893203883494,0.004663858514753923,symptomatic
227,glial cell apoptotic process,GO:0034349,7.996893203883494,0.004654561786817537,symptomatic
213,hair follicle placode formation,GO:0060789,7.996893203883494,0.0046607554818099755,symptomatic
162,fungiform papilla morphogenesis,GO:0061197,7.996893203883494,0.004657656575239623,symptomatic
151,positive regulation of sulfur metabolic process,GO:0051176,7.996893203883494,0.004673192454409869,symptomatic
135,regulation of metalloendopeptidase activity,GO:1904683,7.996893203883494,0.004666965682318717,symptomatic
270,positive regulation of endodeoxyribonuclease activity,GO:0032079,7.497087378640777,0.027152185623523045,symptomatic
307,regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,GO:1905005,7.497087378640777,0.02706098346451889,symptomatic
306,positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,GO:1905007,7.497087378640777,0.027073974815197965,symptomatic
303,hepatocyte growth factor receptor signaling pathway,GO:0048012,7.497087378640777,0.000339522379999053,symptomatic
297,establishment or maintenance of microtubule cytoskeleton polarity,GO:0030951,7.497087378640777,0.027099994973597965,symptomatic
293,regulation of leukocyte adhesion to arterial endothelial cell,GO:1904997,7.497087378640777,0.02711302381733527,symptomatic
291,protein localization to lipid droplet,GO:1990044,7.497087378640777,0.027126065194832787,symptomatic
278,anterograde neuronal dense core vesicle transport,GO:1990048,7.497087378640777,0.02713911912418545,symptomatic
250,endoplasmic reticulum tubular network membrane organization,GO:1990809,7.497087378640777,0.027230849608912294,symptomatic
262,synaptic vesicle recycling via endosome,GO:0036466,7.497087378640777,0.02716526471101029,symptomatic
257,negative regulation of lysosome organization,GO:1905672,7.497087378640777,0.02717835640484692,symptomatic
254,positive regulation of fibroblast growth factor production,GO:0090271,7.497087378640777,0.027191460723267773,symptomatic
252,regulation of Schwann cell differentiation,GO:0014038,7.497087378640777,0.027217707306977493,symptomatic
248,neuropilin signaling pathway,GO:0038189,7.497087378640777,0.027244004608723362,symptomatic
245,regulation of ureteric bud formation,GO:0072106,7.497087378640777,0.02725717232482231,symptomatic
238,positive regulation of ureteric bud formation,GO:0072107,7.497087378640777,0.027270352775656367,symptomatic
228,negative regulation of epithelial cell differentiation involved in kidney development,GO:2000697,7.497087378640777,0.02728354597970845,symptomatic
155,regulation of heparan sulfate proteoglycan biosynthetic process,GO:0010908,7.497087378640777,0.027022084111191835,symptomatic
313,regulation of termination of RNA polymerase II transcription,GO:1904594,7.497087378640777,0.02704800457556708,symptomatic
301,negative regulation of myofibroblast differentiation,GO:1904761,7.497087378640777,0.027086978645560693,symptomatic
316,negative regulation of hyaluronan biosynthetic process,GO:1900126,7.497087378640777,0.027035038130420595,symptomatic
373,vasculogenesis involved in coronary vascular morphogenesis,GO:0060979,7.497087378640777,0.026931752406904184,symptomatic
331,negative regulation of triglyceride biosynthetic process,GO:0010868,7.497087378640777,0.02699621327910836,symptomatic
425,negative regulation of bicellular tight junction assembly,GO:1903347,7.497087378640777,0.02685480454288446,symptomatic
420,cardiac muscle tissue regeneration,GO:0061026,7.497087378640777,0.026867598637473733,symptomatic
401,positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,GO:1903378,7.497087378640777,0.02688040492853068,symptomatic
397,formation of radial glial scaffolds,GO:0021943,7.497087378640777,0.02689322343350375,symptomatic
390,actin modification,GO:0030047,7.497087378640777,0.026906054169874696,symptomatic
384,retinal cell programmed cell death,GO:0046666,7.497087378640777,0.026918897155158647,symptomatic
323,positive regulation of stress granule assembly,GO:0062029,7.497087378640777,0.027009142500027474,symptomatic
369,negative regulation of long-chain fatty acid import into cell,GO:0140213,7.497087378640777,0.027204577684542867,symptomatic
337,trigeminal ganglion development,GO:0061551,7.497087378640777,0.026983296430649457,symptomatic
348,Langerhans cell differentiation,GO:0061520,7.497087378640777,0.02695749978014214,symptomatic
359,negative regulation of long-chain fatty acid import across plasma membrane,GO:0010748,7.497087378640777,0.026944619942693437,symptomatic
340,negative regulation of dendrite extension,GO:1903860,7.497087378640777,0.02697039193689974,symptomatic
429,CRD-mediated mRNA stabilization,GO:0070934,7.269902912621359,2.4227316126345384e-05,symptomatic
541,corticosteroid receptor signaling pathway,GO:0031958,7.140083217753121,0.0020588375067446723,symptomatic
481,regulation of vitamin D biosynthetic process,GO:0060556,7.140083217753121,0.0020478444765789877,symptomatic
470,random inactivation of X chromosome,GO:0060816,7.140083217753121,0.0020494077166374448,symptomatic
