Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Signaling pathways regulating pluripotency of stem cells,6/139,0.0009835045647993291,0.1770308216638793,0,0,5.661797806618457,39.20448636887942,MAP2K1;PCGF5;COMMD3-BMI1;IL6ST;BMI1;ACVR2B,KEGG_2019_Human
Kaposi sarcoma-associated herpesvirus infection,6/186,0.0042512846941727,0.3331241095073717,0,0,4.1734607218683655,22.78932442292981,MAP2K4;MAP2K1;CREB1;PLCG1;IL6ST;CALM2,KEGG_2019_Human
Prostate cancer,4/97,0.0081925651106475,0.3331241095073717,0,0,5.340907553932508,25.660541115785698,MAP2K1;HSP90AA1;CREB1;ZEB1,KEGG_2019_Human
Phosphatidylinositol signaling system,4/99,0.0087905146652203,0.3331241095073717,0,0,5.227937768950679,24.74948618205969,IMPAD1;IPMK;PLCG1;CALM2,KEGG_2019_Human
Long-term potentiation,3/67,0.0174007300449563,0.3331241095073717,0,0,5.79287109375,23.468329146426388,GRM5;MAP2K1;CALM2,KEGG_2019_Human
Fc epsilon RI signaling pathway,3/68,0.0180972749850911,0.3331241095073717,0,0,5.703461538461538,22.88225293173164,MAP2K4;MAP2K1;PLCG1,KEGG_2019_Human
Renin secretion,3/69,0.0188091666207883,0.3331241095073717,0,0,5.616761363636364,22.317701059559106,CREB1;PRKG2;CALM2,KEGG_2019_Human
Inositol phosphate metabolism,3/74,0.0225993392738351,0.3331241095073717,0,0,5.219894366197183,19.78253632330613,IMPAD1;IPMK;PLCG1,KEGG_2019_Human
Glioma,3/75,0.0234035681156436,0.3331241095073717,0,0,5.147135416666667,19.326807812232037,MAP2K1;PLCG1;CALM2,KEGG_2019_Human
Antigen processing and presentation,3/77,0.025058215568228,0.3331241095073717,0,0,5.007516891891892,18.460479116527445,HSP90AA1;CREB1;KLRC3,KEGG_2019_Human
Ubiquitin mediated proteolysis,4/137,0.0259112837397414,0.3331241095073717,0,0,3.727053482763512,13.615212384846323,DDB1;FBXW7;UBE2D1;TRIM37,KEGG_2019_Human
Estrogen signaling pathway,4/137,0.0259112837397414,0.3331241095073717,0,0,3.727053482763512,13.615212384846323,MAP2K1;HSP90AA1;CREB1;CALM2,KEGG_2019_Human
Rap1 signaling pathway,5/206,0.0269753237120462,0.3331241095073717,0,0,3.0915045028024437,11.169088768485224,MAP2K1;P2RY1;PLCG1;EFNA5;CALM2,KEGG_2019_Human
Fluid shear stress and atherosclerosis,4/139,0.0271387568259863,0.3331241095073717,0,0,3.671465175867692,13.242212809180868,MAP2K4;HSP90AA1;CALM2;ACVR2B,KEGG_2019_Human
Human immunodeficiency virus 1 infection,5/212,0.0300142211621905,0.3331241095073717,0,0,3.0009784137467133,10.521682313457756,DDB1;MAP2K1;CCNB1;PLCG1;CALM2,KEGG_2019_Human
ErbB signaling pathway,3/85,0.0322906683837141,0.3331241095073717,0,0,4.517149390243903,15.507269939791536,MAP2K4;MAP2K1;PLCG1,KEGG_2019_Human
Gap junction,3/88,0.0352543302023286,0.3331241095073717,0,0,4.357058823529412,14.575089021650712,GRM5;MAP2K1;PRKG2,KEGG_2019_Human
MicroRNAs in cancer,6/299,0.0360845103477104,0.3331241095073717,0,0,2.5491619747396794,8.468039704949346,MAP2K1;ZEB1;DDIT4;COMMD3-BMI1;PLCG1;BMI1,KEGG_2019_Human
GnRH signaling pathway,3/93,0.0404947086740918,0.3331241095073717,0,0,4.113958333333334,13.191752817875694,MAP2K4;MAP2K1;CALM2,KEGG_2019_Human
Thermogenesis,5/231,0.0410236291794143,0.3331241095073717,0,0,2.7460233001008176,8.769719389443889,CREB1;NDUFAF7;PRKG2;ACSL4;ARID1B,KEGG_2019_Human
Hepatitis B,4/163,0.0445741775271088,0.3331241095073717,0,0,3.113484434951149,9.68480644821314,DDB1;MAP2K4;MAP2K1;CREB1,KEGG_2019_Human
Circadian entrainment,3/97,0.0449543364654625,0.3331241095073717,0,0,3.938098404255319,12.216406760060694,CREB1;PRKG2;CALM2,KEGG_2019_Human
cGMP-PKG signaling pathway,4/166,0.0471076110092693,0.3331241095073717,0,0,3.055361441105676,9.335109052289637,MAP2K1;CREB1;PRKG2;CALM2,KEGG_2019_Human
Progesterone-mediated oocyte maturation,3/99,0.0472720110666465,0.3331241095073717,0,0,3.8556640625,11.766857824596732,MAP2K1;CCNB1;HSP90AA1,KEGG_2019_Human
Melanogenesis,3/101,0.0496475835582227,0.3331241095073717,0,0,3.776594387755102,11.340378622385307,MAP2K1;CREB1;CALM2,KEGG_2019_Human
Vasopressin-regulated water reabsorption,2/44,0.0499686164261057,0.3331241095073717,0,0,5.85477669328601,17.54301952465873,CREB1;AQP3,KEGG_2019_Human
Fatty acid degradation,2/44,0.0499686164261057,0.3331241095073717,0,0,5.85477669328601,17.54301952465873,ADH1B;ACSL4,KEGG_2019_Human
Th17 cell differentiation,3/107,0.0571161001821706,0.3457128673489157,0,0,3.5576322115384613,10.184324289966058,HSP90AA1;PLCG1;IL6ST,KEGG_2019_Human
Alcoholism,4/180,0.059965960119112,0.3457128673489157,0,0,2.8103201829616924,7.90817975545232,MAP2K1;CREB1;HAT1;CALM2,KEGG_2019_Human
Axon guidance,4/181,0.0609491580245608,0.3457128673489157,0,0,2.7943005365455,7.81765718882706,DPYSL2;PLCG1;EPHA1;EFNA5,KEGG_2019_Human
TNF signaling pathway,3/110,0.0610388914115464,0.3457128673489157,0,0,3.4573598130841123,9.667621819331409,MAP2K4;MAP2K1;CREB1,KEGG_2019_Human
Sulfur relay system,1/8,0.0633806923473012,0.3457128673489157,0,0,17.486772486772487,48.23894065290774,MOCS2,KEGG_2019_Human
Riboflavin metabolism,1/8,0.0633806923473012,0.3457128673489157,0,0,17.486772486772487,48.23894065290774,ACP1,KEGG_2019_Human
PI3K-Akt signaling pathway,6/354,0.0702183371340215,0.3652312048392436,0,0,2.1402372062376456,5.6847820435051,MAP2K1;HSP90AA1;CREB1;DDIT4;ITGB8;EFNA5,KEGG_2019_Human
Sulfur metabolism,1/9,0.0710171787187418,0.3652312048392436,0,0,15.300154320987655,40.4663603578683,IMPAD1,KEGG_2019_Human
Neurotrophin signaling pathway,3/119,0.0735345773532447,0.3676728867662238,0,0,3.1876616379310345,8.319795418893486,MAP2K1;PLCG1;CALM2,KEGG_2019_Human
Oocyte meiosis,3/125,0.0824467213691488,0.3959302723076566,0,0,3.029969262295082,7.561600368308668,MAP2K1;CCNB1;CALM2,KEGG_2019_Human
VEGF signaling pathway,2/59,0.0835852797093941,0.3959302723076566,0,0,4.31077694235589,10.698864936375143,MAP2K1;PLCG1,KEGG_2019_Human
Long-term depression,2/60,0.086020904286359,0.397019558244734,0,0,4.23623902334547,10.392193046010252,MAP2K1;PRKG2,KEGG_2019_Human
Relaxin signaling pathway,3/130,0.0902113071739746,0.4030237882947532,0,0,2.90994094488189,7.000155400923807,MAP2K4;MAP2K1;CREB1,KEGG_2019_Human
Natural killer cell mediated cytotoxicity,3/131,0.0917998628893604,0.4030237882947532,0,0,2.887060546875,6.89471769382743,MAP2K1;KLRC3;PLCG1,KEGG_2019_Human
Fatty acid biosynthesis,1/13,0.1009492626948692,0.4121264352112825,0,0,10.198045267489713,23.385517356838168,ACSL4,KEGG_2019_Human
Non-small cell lung cancer,2/66,0.1010642011397268,0.4121264352112825,0,0,3.837927018633541,8.796526075602674,MAP2K1;PLCG1,KEGG_2019_Human
Retinol metabolism,2/67,0.1036384639561388,0.4121264352112825,0,0,3.778690874343048,8.565713106424253,ADH1B;RDH11,KEGG_2019_Human
Amphetamine addiction,2/68,0.1062306233388311,0.4121264352112825,0,0,3.7212497647280256,8.3435735768074,CREB1;CALM2,KEGG_2019_Human
Epithelial cell signaling in Helicobacter pylori infection,2/68,0.1062306233388311,0.4121264352112825,0,0,3.7212497647280256,8.3435735768074,MAP2K4;PLCG1,KEGG_2019_Human
Cell adhesion molecules (CAMs),3/145,0.1152132932826347,0.4121264352112825,0,0,2.6005721830985915,5.61975884577102,ITGB8;NECTIN3;MPZL1,KEGG_2019_Human
Thiamine metabolism,1/15,0.1155538666355705,0.4121264352112825,0,0,8.740299823633157,18.861728539646958,ACP1,KEGG_2019_Human
Adherens junction,2/72,0.1167691566431967,0.4121264352112825,0,0,3.507897071872227,7.533406503092571,ACP1;NECTIN3,KEGG_2019_Human
Arrhythmogenic right ventricular cardiomyopathy (ARVC),2/72,0.1167691566431967,0.4121264352112825,0,0,3.507897071872227,7.533406503092571,ITGB8;DSG2,KEGG_2019_Human
p53 signaling pathway,2/72,0.1167691566431967,0.4121264352112825,0,0,3.507897071872227,7.533406503092571,CCNB1;SESN3,KEGG_2019_Human
Phospholipase D signaling pathway,3/148,0.1204989446881631,0.4138030103287062,0,0,2.546379310344828,5.388429630757358,MAP2K1;GRM5;PLCG1,KEGG_2019_Human
Ras signaling pathway,4/232,0.1218419974856745,0.4138030103287062,0,0,2.163632351318548,4.554511389718262,MAP2K1;PLCG1;EFNA5;CALM2,KEGG_2019_Human
